409-95-6118,F,Amlodipine Besylate,06/01/2018,China
290-16-8087,F,Mirtazapine,21/09/2018,Benin
711-54-2788,F,WOMENS LAXATIVE,22/09/2019,Serbia
877-17-6866,F,Haloperidol,31/01/2019,Philippines
782-38-0692,F,SyDerm Complex,05/01/2020,Iran
157-53-0653,M,Atenolol,15/11/2019,Indonesia
127-80-0097,M,ATORVASTATIN CALCIUM,08/12/2019,Indonesia
241-26-0923,F,KIT FOR THE PREPARATION OF TECHNETIUM TC 99M MEDRONATE,08/05/2020,Indonesia
270-11-8794,F,Premier Value Arthritis 8 Hour,16/10/2019,Brazil
209-72-4324,M,Procentra,01/05/2020,Poland
537-94-6021,F,Zep Professional Healthcare Worker,14/09/2018,Samoa
612-68-4281,F,rexall all day allergy relief,21/03/2019,China
897-75-6927,F,DRITHO-CREME,03/01/2019,Indonesia
160-48-9148,M,STUDIO SCULPT,23/02/2019,Czech Republic
281-27-8284,F,Amlodipine besylate and Atorvastatin calcium,04/02/2018,Cape Verde
210-28-4438,M,No7 Stay Perfect Foundation Sunscreen SPF 15 Espresso,28/09/2018,Canada
653-77-6852,F,Retaine CMC Lubricant Eye Drops,22/03/2018,Trinidad and Tobago
476-38-6966,F,GAVISCON,12/01/2018,Sweden
505-66-2051,M,Ceftriaxone Sodium,05/03/2019,Mexico
102-75-5347,M,Benztropine Mesylate,31/07/2018,Indonesia
411-57-0345,M,LE TECHNIQ,04/01/2019,Czech Republic
780-65-3039,F,Rizatriptan Benzoate,06/02/2020,Ireland
281-34-0535,M,Bupropion Hydrochloride,05/12/2019,Cameroon
183-75-5616,M,Citrus Cydonia 3,13/07/2018,Mexico
684-73-4568,M,Hemorrhoidal Cooling Gel,11/11/2018,Indonesia
735-02-6249,F,Anti Itch,05/03/2020,Poland
809-12-9382,M,Phenazopyridine Hydrochloride,28/09/2018,Poland
827-42-2662,M,LBEL Couler Luxe Supreme XP,18/10/2018,Afghanistan
703-93-2191,M,Sunmark Loratadine,14/03/2020,Indonesia
678-01-5371,F,Bio Psorinum Phase,05/11/2018,Thailand
532-11-6831,F,acarbose,15/12/2018,Nigeria
508-54-3666,F,Old Spice Fresh Collection,16/07/2018,China
838-31-6807,F,dg health allergy relief,01/05/2018,Russia
186-07-3326,M,Gabapentin,19/02/2018,China
494-45-9633,F,SHISEIDO PERFECT REFINING FOUNDATION,17/11/2019,Peru
540-58-4666,M,SHISEIDO SHEER MATIFYING COMPACT (REFILL),04/05/2019,Malaysia
789-49-5040,M,Lamotrigine,17/07/2019,Mexico
547-66-4418,M,Head and Shoulders,04/04/2018,Albania
248-87-7942,M,VERELAN,16/01/2020,Russia
181-25-8778,M,Allergy and Red Eye Relief,05/11/2019,China
264-67-3958,F,ANTI BACTERIAL HAND SANITIZER,24/08/2019,Indonesia
261-65-5539,M,Noble Lion Medicated Balm,30/11/2018,Netherlands
541-67-2475,M,SMART SENSE TOLNFTATE ANTIFUNGAL,24/08/2019,Philippines
509-97-4744,F,Diltiazem Hydrochloride,17/09/2019,Mexico
213-19-2094,F,being well nasal,09/03/2019,Philippines
208-88-7468,F,Prostatone,13/05/2020,Kazakhstan
459-82-4236,F,Epirubicin Hydrochloride,09/02/2019,France
257-10-7406,F,ATORVASTATIN CALCIUM,09/10/2018,Portugal
855-64-4283,M,Bumetanide,27/12/2019,United States
370-41-6589,F,POPULUS ALBA POLLEN,15/05/2018,Syria
752-91-0664,F,PANTOPRAZOLE SODIUM,06/11/2019,Finland
752-40-5715,M,School Health Sterile Alcohol Prep Pad,07/05/2020,Colombia
239-77-5158,F,Prednisone,26/02/2018,Ireland
540-93-5673,F,EXCHANGE SELECT NICOTINE TRANSDERMAL SYSTEM,09/09/2018,China
588-15-2963,F,IMAGE ESSENTIALS,22/10/2019,Azerbaijan
847-02-0951,M,Careless Weed Pollen,10/04/2018,Poland
640-49-0986,M,Isopropyl Alcohol,21/06/2019,Cameroon
453-82-3970,M,Ludens Honey Lemon Throat Drops,08/01/2018,Poland
437-23-2283,M,Amoxicillin,02/05/2019,China
308-64-7499,M,Fluoxetine,31/01/2020,Indonesia
606-46-5010,F,Lisinopril,08/02/2019,Brazil
273-52-4462,M,MANGO BUTTER LIPSTICK,01/07/2018,Sweden
135-58-1729,F,Gabapentin,11/06/2019,Russia
521-70-5656,F,Cyclobenzaprine Hydrochloride,21/05/2020,Philippines
797-42-5904,F,TOPROLXL,22/06/2018,China
599-76-0978,F,Apizelen,09/07/2019,Indonesia
235-28-3669,F,Softlips Coconut,21/04/2019,United States
470-50-6259,F,XtraCare Anti-Dandruff Hair Cleanse,06/04/2019,United Kingdom
796-08-8094,F,ENALAPRIL MALEATE,18/02/2018,Brazil
120-63-5763,M,SINUS PAIN AND CONGESTION DAYTIME,05/06/2019,China
206-23-9608,M,Good Sense Antacid,05/04/2018,Pakistan
790-42-8035,F,Desmopressin Acetate,27/10/2019,Philippines
286-13-4719,M,Isoniazid,23/03/2020,Armenia
433-13-1617,F,AMOXICILLIN,20/10/2018,Indonesia
614-17-6232,M,Water Oak,26/05/2020,Indonesia
121-63-7463,F,Privigen,21/10/2019,Canada
535-06-0834,M,Diltiazem Hydrochloride,21/03/2020,China
219-61-2101,M,Cold and Hot Medicated,25/10/2019,Morocco
193-71-5534,M,Phentermine Hydrochloride,18/05/2018,China
240-25-1753,M,Actos,08/08/2019,Indonesia
534-44-7356,F,Nitrofurantoin (macrocrystals),08/03/2020,Paraguay
307-37-3981,M,Harris Teeter,30/05/2019,Morocco
436-61-0888,F,Sanitizing Alcohol Rub,08/08/2019,Venezuela
647-12-6828,F,Thyro Tonic,03/02/2019,Philippines
643-71-7684,M,Oxygen,24/05/2020,Argentina
442-31-0088,F,Carvedilol,01/06/2019,Kazakhstan
703-21-2244,M,Nabumetone,28/07/2018,China
418-58-4512,F,verapamil hydrochloride,21/08/2018,Kyrgyzstan
778-80-7249,M,Care One cold head congestion,21/02/2020,Norway
812-10-8825,F,Tranexamic Acid,21/04/2018,Ethiopia
775-51-3245,M,Lidocaine Hydrochloride and Epinephrine,12/01/2019,Japan
636-10-3788,F,Total Niccolum,21/10/2019,Philippines
877-65-9423,M,LBEL Couler Luxe Supreme XP,20/01/2020,Costa Rica
453-13-5525,M,ShopRite Day Calm Severe,02/04/2019,Russia
507-87-2962,M,Verapamil Hydrochloride,11/09/2018,Portugal
171-46-7401,F,Etomidate,12/09/2018,Sweden
528-18-6859,F,Borasol,26/06/2018,China
830-22-6280,M,well at walgreens lansoprazole,19/07/2018,Comoros
253-43-7482,M,Preferred Plus Pharmacy 3 percent Hydrogen Peroxide Wipes,06/01/2020,Moldova
709-92-1250,F,equate nite time,08/08/2018,France
284-28-0509,M,Lipitor,20/08/2019,Sweden
188-88-2562,F,Epsom Salt,03/07/2019,China
167-72-3704,M,West Wheat Grass,20/06/2018,France
425-01-9941,M,PHOTO FINISH MORE THAN PRIMER BLEMISH CONTROL,15/10/2019,Indonesia
795-56-1484,M,Midodrine Hydrochloride,18/02/2020,Sweden
460-99-8885,M,Iron Polysaccharides Folic Acid DHA,16/12/2018,China
498-89-4990,M,Laxative Pills,14/02/2020,China
344-72-7260,F,Leg Cramps Relief,05/08/2018,Belarus
108-04-0300,F,Clearasil Daily Clear,15/12/2018,Poland
169-38-2745,M,Fexofenadine,04/12/2019,Canada
718-82-3251,M,cold hot patch,17/03/2019,Czech Republic
320-48-2141,F,U-Cort,14/11/2018,Czech Republic
853-87-0103,F,Tyramine,29/06/2019,Greece
589-66-4771,M,Saline,08/05/2018,Indonesia
131-96-7823,M,Ciprofloxacin Hydrochloride,17/10/2019,Philippines
748-84-1006,M,Anpitua Stim,09/06/2018,Paraguay
779-81-9553,F,Oxygen,09/09/2018,Poland
576-25-1432,M,Naproxen Sodium,20/05/2018,Denmark
588-09-9935,F,Glyset,13/03/2019,China
280-02-3131,M,health mart pain relief,30/09/2019,Palestinian Territory
564-86-5656,F,Gabapentin,29/05/2018,France
683-34-3311,M,CLOZAPINE,25/04/2018,Poland
544-36-6732,M,Prempro,17/05/2020,Slovenia
593-99-5669,M,Etodolac,14/02/2020,Georgia
683-39-9447,F,Gold Bond Ultimate Hand Sanitizer Sheer Moisture,11/12/2019,Russia
142-93-2259,M,Oxygen,11/06/2019,China
595-60-1498,M,Diclofenac Sodium,16/11/2019,China
606-13-5671,M,Stomach Relief,25/11/2018,Brazil
322-97-1573,F,Petroleum,20/01/2020,China
168-33-2747,M,Pantoprazole Sodium,11/10/2018,Brazil
699-41-8845,M,healthy accents tussin cf,26/02/2018,Argentina
832-20-3791,M,TetraVisc Forte,04/03/2018,Sweden
143-65-3642,F,careone childrens mucus relief,17/02/2019,Canada
532-07-6554,F,Carbidopa and levodopa,16/06/2019,Bosnia and Herzegovina
176-99-9219,F,Select Brand Sunscreen,17/04/2019,China
652-17-7367,F,Colgate Sensitive Prevent and Repair,29/03/2018,Czech Republic
375-71-4504,F,Sertraline Hydrochloride,01/06/2018,Albania
311-89-6228,M,Fever and Flu,24/05/2019,China
363-39-8161,M,Escitalopram,30/07/2018,China
479-27-1649,F,Simvastatin,27/04/2020,Indonesia
395-14-2072,F,healthy accents ibuprofen,13/07/2019,Colombia
418-43-5859,M,Parafon Forte DSC,08/02/2019,Indonesia
839-90-6374,F,Mirtazapine,13/06/2018,South Korea
548-28-2888,M,Shagbark Hickory,11/09/2018,Russia
665-36-5288,M,IT RADIANT CC CUSHION,20/03/2018,Japan
301-54-2985,F,Crab,31/03/2019,United States
292-39-8649,F,HELLO FLAWLESS OXYGEN WOW Broad Spectrum SPF 25 BRIGHTENING MAKEUP - BELIEVE IN ME,09/05/2020,Philippines
189-59-5465,M,AZITHROMYCIN,03/07/2019,China
800-29-9056,F,Nivea For Men Q10 Energy,16/07/2018,China
153-99-6745,F,Felodipine,06/10/2019,Indonesia
295-90-7011,M,OXYGEN,25/06/2019,China
429-30-9636,F,MRCL,13/05/2018,China
117-71-6880,M,JASMINE 3D WATERFUL 3D C.C,20/10/2018,Philippines
537-69-3007,M,Lobster,22/03/2018,Guatemala
597-64-3613,F,SEROQUEL,22/07/2018,United States
217-41-6721,M,Enalaprilat,17/01/2018,Philippines
148-06-4391,F,LBEL,21/04/2019,Ivory Coast
455-25-3522,F,Bald Cypress,01/08/2019,Indonesia
245-01-4458,F,Treatment Set TS329152,18/01/2020,Colombia
416-88-4926,F,Brimonidine Tartrate,06/09/2018,Indonesia
528-49-3542,M,equaline anti itch,20/10/2019,China
600-98-5396,F,Bumetanide,06/05/2020,Kazakhstan
457-83-4433,M,Clarithromycin,11/12/2019,China
428-85-4824,M,Levetiracetam,07/05/2019,Philippines
882-93-4753,M,Potassium Acetate,12/11/2019,China
788-20-4980,F,LINGERIE DE PEAU INVISIBLE SKIN-FUSION FOUNDATION WITH SUNSCREEN BROAD SPECTRUM SPF 20 31 AMBRE PALE,06/05/2018,Thailand
203-60-6785,M,laura mercier Tinted Moisturizer Creme Compact Broad Spectrum SPF 20 Sunscreen BLUSH,19/09/2019,China
107-41-5456,M,Mineral Oil Lubricant Laxative,28/04/2018,Libya
422-88-2752,M,Acephen,29/11/2019,Thailand
879-19-1614,F,Lidocaine Hydrochloride,23/09/2019,Brazil
897-59-5288,M,hemorrhoidal,27/12/2018,Philippines
331-34-0781,F,supernatural airbrushed canvas broad spectrum spf 15 sunscreen,09/03/2018,Colombia
553-31-3648,M,Rabbitbush Pollen,22/11/2019,Sweden
316-30-6778,M,TUMS,22/08/2018,China
333-22-8108,F,Re20 Light Wrinkle BB Cream,28/12/2018,Hungary
766-25-6999,F,LBEL HYDRATESS,14/09/2018,Indonesia
310-44-0512,M,Hydroxyzine hydrochloride,14/12/2019,Brazil
